,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
26909,Andrew Cashner,4 Seam Fastball,0.85,2.65,L,0.0,1.0
26910,Andrew Cashner,Slider,1.14,-0.14,L,0.0,2.0
26911,Andrew Cashner,Changeup,-0.15,0.06,L,1.0,2.0
26912,Andrew Cashner,4 Seam Fastball,0.8,4.73,L,2.0,2.0
26913,Andrew Cashner,4 Seam Fastball,0.34,3.41,L,3.0,2.0
26930,Andrew Cashner,4 Seam Fastball,-1.04,2.91,R,0.0,0.0
26931,Andrew Cashner,Changeup,-0.68,1.95,R,1.0,0.0
26932,Andrew Cashner,4 Seam Fastball,0.37,3.78,R,1.0,1.0
26933,Andrew Cashner,Slider,1.6,1.89,R,1.0,2.0
26934,Andrew Cashner,4 Seam Fastball,-0.99,3.21,R,2.0,2.0
26935,Andrew Cashner,Changeup,0.54,2.68,L,0.0,0.0
26936,Andrew Cashner,4 Seam Fastball,-0.28,1.97,L,0.0,1.0
26937,Andrew Cashner,4 Seam Fastball,0.65,2.97,L,0.0,2.0
26938,Andrew Cashner,Slider,0.47,0.99,L,0.0,2.0
26939,Andrew Cashner,Slider,-1.07,3.74,R,0.0,0.0
26940,Andrew Cashner,4 Seam Fastball,0.37,2.23,R,1.0,0.0
26962,Andrew Cashner,4 Seam Fastball,0.85,1.64,R,0.0,0.0
26963,Andrew Cashner,2 Seam Fastball,-0.09,1.69,R,1.0,0.0
26964,Andrew Cashner,4 Seam Fastball,0.18,3.58,R,1.0,1.0
26965,Andrew Cashner,4 Seam Fastball,0.3,2.4,R,2.0,1.0
26966,Andrew Cashner,4 Seam Fastball,-0.21,3.75,R,2.0,2.0
26967,Andrew Cashner,4 Seam Fastball,-0.08,0.97,R,0.0,0.0
26968,Andrew Cashner,4 Seam Fastball,-0.38,3.16,R,1.0,0.0
26969,Andrew Cashner,4 Seam Fastball,0.87,2.34,R,1.0,1.0
26970,Andrew Cashner,4 Seam Fastball,0.01,2.23,R,1.0,2.0
26971,Andrew Cashner,4 Seam Fastball,0.49,2.27,R,1.0,2.0
26972,Andrew Cashner,Slider,-1.0,3.68,L,0.0,0.0
26973,Andrew Cashner,Changeup,-0.56,2.51,L,1.0,0.0
26974,Andrew Cashner,4 Seam Fastball,0.63,1.57,L,1.0,1.0
26975,Andrew Cashner,Slider,0.37,1.78,L,1.0,2.0
26983,Andrew Cashner,Slider,0.4,2.0,R,0.0,0.0
26984,Andrew Cashner,Changeup,-1.03,2.28,R,0.0,1.0
26985,Andrew Cashner,Slider,0.38,0.52,R,0.0,2.0
26986,Andrew Cashner,4 Seam Fastball,0.53,2.6,R,0.0,0.0
26987,Andrew Cashner,4 Seam Fastball,1.02,2.56,R,0.0,1.0
26988,Andrew Cashner,Slider,0.26,1.94,R,1.0,1.0
26989,Andrew Cashner,Slider,1.29,0.16,R,1.0,2.0
26990,Andrew Cashner,Changeup,-1.52,3.86,L,0.0,0.0
26991,Andrew Cashner,4 Seam Fastball,0.54,3.22,L,1.0,0.0
26992,Andrew Cashner,4 Seam Fastball,0.25,1.9,R,0.0,0.0
26993,Andrew Cashner,4 Seam Fastball,1.12,0.83,R,0.0,1.0
26994,Andrew Cashner,4 Seam Fastball,-0.6,3.26,R,1.0,1.0
26995,Andrew Cashner,Changeup,-1.33,2.58,L,0.0,0.0
26996,Andrew Cashner,4 Seam Fastball,1.27,0.96,L,1.0,0.0
26997,Andrew Cashner,4 Seam Fastball,-1.05,1.89,L,2.0,0.0
26998,Andrew Cashner,Changeup,-0.02,1.01,L,2.0,1.0
26999,Andrew Cashner,4 Seam Fastball,0.67,2.67,L,2.0,2.0
27027,Andrew Cashner,4 Seam Fastball,-0.64,3.04,R,0.0,0.0
27028,Andrew Cashner,4 Seam Fastball,1.17,1.81,R,0.0,1.0
27029,Andrew Cashner,4 Seam Fastball,0.52,2.13,R,1.0,1.0
27030,Andrew Cashner,4 Seam Fastball,0.74,2.55,R,0.0,0.0
27031,Andrew Cashner,4 Seam Fastball,-0.9,3.46,R,0.0,1.0
27032,Andrew Cashner,Slider,0.11,1.58,R,0.0,2.0
27033,Andrew Cashner,4 Seam Fastball,-0.44,3.97,R,0.0,0.0
27034,Andrew Cashner,4 Seam Fastball,0.25,1.9,R,1.0,0.0
27035,Andrew Cashner,4 Seam Fastball,-0.17,2.24,R,1.0,1.0
27036,Andrew Cashner,4 Seam Fastball,0.72,3.43,R,1.0,2.0
27037,Andrew Cashner,4 Seam Fastball,0.2,1.89,R,1.0,2.0
29295,Asher Wojciechowski,Slider,0.257,1.74,R,0.0,0.0
29296,Asher Wojciechowski,4 Seam Fastball,0.34,3.914,R,0.0,1.0
29297,Asher Wojciechowski,4 Seam Fastball,0.462,2.74,R,1.0,1.0
29298,Asher Wojciechowski,Slider,1.7990000000000002,0.205,R,1.0,2.0
29299,Asher Wojciechowski,Slider,0.28600000000000003,3.29,R,2.0,2.0
29300,Asher Wojciechowski,4 Seam Fastball,-1.205,3.622,L,0.0,0.0
29301,Asher Wojciechowski,4 Seam Fastball,-0.644,3.164,L,1.0,0.0
