,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
701250,Shelby Miller,Changeup,-1.281,2.872,L,0.0,0.0
701251,Shelby Miller,4 Seam Fastball,-0.279,1.865,L,1.0,0.0
701252,Shelby Miller,Curveball,-0.981,3.39,R,0.0,0.0
701253,Shelby Miller,4 Seam Fastball,-0.418,3.611,R,1.0,0.0
701254,Shelby Miller,Cutter,-0.012,2.508,R,2.0,0.0
701255,Shelby Miller,Cutter,0.628,1.7990000000000002,R,2.0,1.0
701256,Shelby Miller,2 Seam Fastball,-0.784,2.7310000000000003,R,2.0,2.0
701257,Shelby Miller,Cutter,0.723,1.973,R,2.0,2.0
701265,Shelby Miller,4 Seam Fastball,-0.136,3.774,R,0.0,0.0
701266,Shelby Miller,4 Seam Fastball,0.12,2.6460000000000004,R,1.0,0.0
701267,Shelby Miller,4 Seam Fastball,-0.443,4.651,R,1.0,1.0
701268,Shelby Miller,4 Seam Fastball,0.906,2.893,R,1.0,2.0
701269,Shelby Miller,4 Seam Fastball,-0.8320000000000001,2.947,R,2.0,2.0
701270,Shelby Miller,2 Seam Fastball,0.358,1.998,L,0.0,0.0
701271,Shelby Miller,Curveball,-0.555,2.835,L,0.0,1.0
701272,Shelby Miller,Changeup,-0.264,1.375,L,0.0,2.0
701273,Shelby Miller,Changeup,-0.8370000000000001,2.079,R,0.0,0.0
701274,Shelby Miller,Changeup,-0.405,1.7819999999999998,R,0.0,1.0
701289,Shelby Miller,Curveball,-0.472,3.407,R,0.0,0.0
701290,Shelby Miller,4 Seam Fastball,1.659,3.547,R,0.0,1.0
701291,Shelby Miller,Changeup,-0.961,2.7260000000000004,R,1.0,1.0
701292,Shelby Miller,Curveball,-0.603,3.604,L,0.0,0.0
701293,Shelby Miller,Changeup,0.049,2.424,L,1.0,0.0
701294,Shelby Miller,4 Seam Fastball,0.6809999999999999,2.291,L,1.0,1.0
701295,Shelby Miller,4 Seam Fastball,0.6559999999999999,1.289,R,0.0,0.0
701296,Shelby Miller,Changeup,-0.208,1.348,R,1.0,0.0
701297,Shelby Miller,4 Seam Fastball,-0.322,4.44,R,2.0,0.0
701298,Shelby Miller,4 Seam Fastball,-0.226,4.258,R,3.0,0.0
701299,Shelby Miller,4 Seam Fastball,0.142,1.953,L,0.0,0.0
701315,Shelby Miller,4 Seam Fastball,-0.217,1.878,L,0.0,0.0
701316,Shelby Miller,Curveball,-0.17600000000000002,2.4930000000000003,L,0.0,1.0
701317,Shelby Miller,Cutter,1.236,1.5830000000000002,R,0.0,0.0
701318,Shelby Miller,4 Seam Fastball,-0.565,3.304,R,1.0,0.0
701319,Shelby Miller,4 Seam Fastball,-0.195,3.178,R,1.0,1.0
701320,Shelby Miller,4 Seam Fastball,-0.34700000000000003,4.206,R,1.0,2.0
701321,Shelby Miller,Cutter,-0.184,2.6,R,2.0,2.0
701322,Shelby Miller,4 Seam Fastball,0.28800000000000003,3.448,R,2.0,2.0
701323,Shelby Miller,4 Seam Fastball,1.052,2.266,R,0.0,0.0
701324,Shelby Miller,2 Seam Fastball,-1.592,3.469,R,1.0,0.0
701325,Shelby Miller,4 Seam Fastball,-1.449,3.67,R,0.0,0.0
701326,Shelby Miller,Cutter,-0.593,2.907,R,1.0,0.0
701338,Shelby Miller,4 Seam Fastball,-0.12,3.588,R,0.0,0.0
701339,Shelby Miller,Cutter,1.122,2.6,R,0.0,1.0
701340,Shelby Miller,Changeup,-0.642,3.384,R,1.0,1.0
701341,Shelby Miller,4 Seam Fastball,-0.368,3.435,R,1.0,2.0
701342,Shelby Miller,4 Seam Fastball,0.27,1.825,R,0.0,0.0
701343,Shelby Miller,Curveball,0.7070000000000001,0.75,R,0.0,1.0
701344,Shelby Miller,2 Seam Fastball,0.133,3.789,R,0.0,2.0
