,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
14166,Anthony Bass,Changeup,0.07400000000000001,-0.046,L,1.0,2.0
14167,Anthony Bass,4 Seam Fastball,-0.906,2.333,L,2.0,2.0
14168,Anthony Bass,4 Seam Fastball,0.386,2.904,L,0.0,0.0
14178,Anthony Bass,Cutter,-0.192,3.148,L,0.0,0.0
14179,Anthony Bass,4 Seam Fastball,-1.43,2.901,L,0.0,1.0
14180,Anthony Bass,2 Seam Fastball,0.388,4.062,L,1.0,1.0
14181,Anthony Bass,4 Seam Fastball,-1.108,2.915,L,2.0,1.0
14182,Anthony Bass,Changeup,-1.198,1.7519999999999998,L,2.0,2.0
14183,Anthony Bass,4 Seam Fastball,-0.7,2.728,L,3.0,2.0
14184,Anthony Bass,Cutter,-0.685,2.737,R,0.0,0.0
14185,Anthony Bass,Slider,0.848,2.764,R,0.0,0.0
14186,Anthony Bass,Slider,-0.77,3.157,R,1.0,0.0
14187,Anthony Bass,4 Seam Fastball,-0.202,1.582,R,1.0,1.0
14188,Anthony Bass,2 Seam Fastball,-2.461,2.474,R,0.0,0.0
14189,Anthony Bass,Slider,0.482,2.198,R,1.0,0.0
14190,Anthony Bass,2 Seam Fastball,-1.126,0.615,R,1.0,1.0
14191,Anthony Bass,Slider,0.913,2.003,R,2.0,1.0
14192,Anthony Bass,Slider,0.684,1.463,R,2.0,2.0
14193,Anthony Bass,Slider,-0.403,2.946,R,3.0,2.0
14208,Anthony Bass,4 Seam Fastball,-0.962,3.258,L,0.0,0.0
14209,Anthony Bass,4 Seam Fastball,0.447,2.415,L,1.0,0.0
14210,Anthony Bass,2 Seam Fastball,-0.413,1.073,R,0.0,0.0
14211,Anthony Bass,Slider,0.48,2.524,R,1.0,0.0
14212,Anthony Bass,2 Seam Fastball,-2.6910000000000003,2.96,R,1.0,1.0
14213,Anthony Bass,Cutter,0.987,2.874,R,2.0,1.0
14214,Anthony Bass,Slider,0.375,1.796,R,2.0,2.0
14215,Anthony Bass,Slider,0.488,2.555,R,0.0,0.0
14216,Anthony Bass,2 Seam Fastball,-2.02,2.678,R,0.0,1.0
14217,Anthony Bass,2 Seam Fastball,-0.338,1.967,R,1.0,1.0
14239,Anthony Bass,4 Seam Fastball,-0.887,2.824,L,0.0,0.0
14240,Anthony Bass,Changeup,-0.895,1.253,L,0.0,1.0
14241,Anthony Bass,Changeup,-1.105,2.354,L,1.0,1.0
