,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
9401,Daniel Hudson,2 Seam Fastball,-2.72,2.157,L,0.0,2.0
9402,Daniel Hudson,4 Seam Fastball,0.35,1.853,L,1.0,2.0
9403,Daniel Hudson,2 Seam Fastball,0.63,2.231,R,0.0,0.0
9416,Daniel Hudson,2 Seam Fastball,-1.277,2.426,L,0.0,0.0
9417,Daniel Hudson,Changeup,-1.45,3.156,L,1.0,0.0
9418,Daniel Hudson,4 Seam Fastball,-0.889,1.711,L,2.0,0.0
9419,Daniel Hudson,Changeup,-0.514,2.393,L,2.0,1.0
9420,Daniel Hudson,4 Seam Fastball,-1.218,2.638,L,2.0,2.0
9421,Daniel Hudson,2 Seam Fastball,-1.157,2.576,L,2.0,2.0
9422,Daniel Hudson,2 Seam Fastball,-0.419,2.599,L,2.0,2.0
9423,Daniel Hudson,Changeup,-0.405,0.7709999999999999,L,2.0,2.0
9424,Daniel Hudson,Changeup,-1.235,2.425,L,3.0,2.0
9425,Daniel Hudson,4 Seam Fastball,-0.542,2.689,R,0.0,0.0
