,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
7077,Rick Porcello,FT,0.091,3.2030000000000003,L,0.0,0.0
7078,Rick Porcello,CU,0.523,1.545,L,0.0,1.0
7079,Rick Porcello,CH,-0.383,1.3530000000000002,L,1.0,1.0
7080,Rick Porcello,CH,-0.687,3.62,R,0.0,0.0
7081,Rick Porcello,CH,0.129,1.758,R,0.0,1.0
7082,Rick Porcello,FF,0.633,3.812,R,0.0,2.0
7083,Rick Porcello,FT,0.536,1.7519999999999998,R,1.0,2.0
7084,Rick Porcello,FT,0.498,2.716,R,1.0,2.0
12908,Nathan Eovaldi,FF,0.901,2.822,R,0.0,0.0
12909,Nathan Eovaldi,FF,0.888,1.955,R,1.0,0.0
12910,Nathan Eovaldi,FF,-0.01,3.039,R,2.0,0.0
12911,Nathan Eovaldi,FF,0.5760000000000001,2.202,R,2.0,1.0
12912,Nathan Eovaldi,FT,0.133,2.266,R,2.0,2.0
12913,Nathan Eovaldi,FF,-0.012,3.574,R,0.0,0.0
12914,Nathan Eovaldi,SL,-0.5379999999999999,3.579,R,1.0,0.0
12915,Nathan Eovaldi,FF,-1.01,3.1630000000000003,R,2.0,0.0
12916,Nathan Eovaldi,FF,0.632,2.419,R,2.0,1.0
12917,Nathan Eovaldi,FF,0.3720000000000001,2.624,R,2.0,2.0
12918,Nathan Eovaldi,SL,0.5920000000000001,0.6990000000000001,L,0.0,0.0
12919,Nathan Eovaldi,CH,-0.055,0.7170000000000001,L,1.0,0.0
12920,Nathan Eovaldi,FF,-0.73,1.664,L,2.0,0.0
12921,Nathan Eovaldi,FF,-0.394,1.662,L,3.0,0.0
12922,Nathan Eovaldi,FF,-0.21600000000000005,1.551,L,3.0,1.0
12923,Nathan Eovaldi,SL,0.046,2.89,L,3.0,2.0
12924,Nathan Eovaldi,SL,-0.045,2.095,R,0.0,0.0
12925,Nathan Eovaldi,FF,-0.7340000000000001,1.866,R,0.0,1.0
12926,Nathan Eovaldi,SL,0.57,2.414,R,0.0,2.0
12927,Nathan Eovaldi,CH,-1.962,2.229,L,0.0,0.0
12928,Nathan Eovaldi,FF,0.157,1.696,L,1.0,0.0
12929,Nathan Eovaldi,FF,-0.7290000000000001,2.68,L,1.0,1.0
12930,Nathan Eovaldi,SL,-0.032,1.872,L,1.0,2.0
12931,Nathan Eovaldi,FF,-0.404,2.43,L,1.0,2.0
12932,Nathan Eovaldi,SL,0.782,1.135,L,1.0,2.0
12933,Nathan Eovaldi,SL,-0.103,2.023,L,1.0,2.0
12934,Nathan Eovaldi,CU,-0.423,2.649,R,0.0,0.0
12948,Nathan Eovaldi,FF,0.225,2.454,L,0.0,0.0
12949,Nathan Eovaldi,FF,1.928,2.052,L,0.0,1.0
12950,Nathan Eovaldi,SL,1.042,2.325,R,0.0,0.0
12951,Nathan Eovaldi,FF,0.46,2.173,R,1.0,0.0
12952,Nathan Eovaldi,CU,-0.72,3.5,R,1.0,1.0
12953,Nathan Eovaldi,FF,0.264,2.483,R,2.0,1.0
12954,Nathan Eovaldi,FF,-0.215,2.517,L,0.0,0.0
12955,Nathan Eovaldi,CU,0.264,1.715,L,0.0,1.0
12956,Nathan Eovaldi,FF,-0.208,4.041,L,0.0,2.0
12957,Nathan Eovaldi,CH,-1.371,1.702,L,1.0,2.0
12958,Nathan Eovaldi,SL,-0.25,2.496,L,2.0,2.0
12971,Nathan Eovaldi,FF,1.446,2.502,R,0.0,0.0
12972,Nathan Eovaldi,FF,-1.938,2.123,R,1.0,0.0
12973,Nathan Eovaldi,FF,0.964,1.912,R,2.0,0.0
12974,Nathan Eovaldi,FF,-0.275,3.113,R,3.0,0.0
12975,Nathan Eovaldi,FF,-0.111,2.25,R,3.0,1.0
12976,Nathan Eovaldi,CU,0.157,1.598,R,0.0,0.0
12977,Nathan Eovaldi,SL,0.7170000000000001,1.851,R,0.0,1.0
12978,Nathan Eovaldi,FF,-0.633,1.5019999999999998,R,0.0,2.0
12979,Nathan Eovaldi,FF,-0.6829999999999999,2.226,L,0.0,0.0
12980,Nathan Eovaldi,FF,-0.383,2.266,R,0.0,0.0
12992,Nathan Eovaldi,CU,-0.413,1.895,L,0.0,0.0
12993,Nathan Eovaldi,CH,0.075,2.202,L,0.0,1.0
12994,Nathan Eovaldi,FF,0.42,2.344,R,0.0,0.0
12995,Nathan Eovaldi,CU,1.317,1.086,R,0.0,1.0
12996,Nathan Eovaldi,SL,0.038,2.218,R,1.0,1.0
12997,Nathan Eovaldi,SL,0.836,1.426,R,1.0,2.0
12998,Nathan Eovaldi,CH,0.312,2.502,R,2.0,2.0
12999,Nathan Eovaldi,CU,0.7909999999999999,1.509,L,0.0,0.0
13000,Nathan Eovaldi,SL,-0.057,2.422,L,1.0,0.0
13001,Nathan Eovaldi,FF,-0.721,2.432,L,1.0,1.0
13002,Nathan Eovaldi,FF,0.435,2.066,R,0.0,0.0
13003,Nathan Eovaldi,CU,-0.564,3.25,R,0.0,1.0
13004,Nathan Eovaldi,FF,0.923,2.814,R,0.0,2.0
13024,Nathan Eovaldi,SL,-1.818,3.876,L,0.0,0.0
13025,Nathan Eovaldi,FF,-0.7909999999999999,1.528,L,1.0,0.0
13026,Nathan Eovaldi,FF,-0.24,2.102,L,2.0,0.0
13027,Nathan Eovaldi,FF,-0.6940000000000001,2.661,L,2.0,1.0
13028,Nathan Eovaldi,CU,2.099,0.737,R,0.0,0.0
13029,Nathan Eovaldi,SL,0.209,2.952,R,1.0,0.0
13030,Nathan Eovaldi,CH,-0.507,2.2880000000000003,R,1.0,1.0
13031,Nathan Eovaldi,FF,-0.459,2.281,R,1.0,2.0
13032,Nathan Eovaldi,SL,0.754,1.578,R,0.0,0.0
13033,Nathan Eovaldi,FF,-1.168,2.334,R,1.0,0.0
13034,Nathan Eovaldi,SL,0.295,2.648,L,0.0,0.0
13051,Nathan Eovaldi,FF,-0.249,2.395,R,0.0,0.0
13052,Nathan Eovaldi,SL,-0.013,3.02,R,0.0,1.0
13053,Nathan Eovaldi,SL,0.608,2.96,R,0.0,2.0
13054,Nathan Eovaldi,FS,0.68,2.333,L,0.0,0.0
13055,Nathan Eovaldi,CH,-0.363,1.581,L,0.0,1.0
13056,Nathan Eovaldi,SL,1.145,1.705,L,0.0,2.0
13057,Nathan Eovaldi,FS,-1.222,0.8640000000000001,L,0.0,2.0
13058,Nathan Eovaldi,SL,-0.6779999999999999,1.275,L,1.0,2.0
13059,Nathan Eovaldi,FF,-0.187,3.003,L,2.0,2.0
13060,Nathan Eovaldi,CU,-0.7879999999999999,2.863,L,2.0,2.0
13061,Nathan Eovaldi,FF,0.457,1.813,R,0.0,0.0
13062,Nathan Eovaldi,SL,0.6559999999999999,1.685,R,0.0,1.0
13063,Nathan Eovaldi,CH,0.879,1.6,R,0.0,2.0
13064,Nathan Eovaldi,SL,1.19,1.479,R,1.0,2.0
13065,Nathan Eovaldi,FS,1.824,0.491,R,2.0,2.0
13066,Nathan Eovaldi,SL,0.594,1.16,R,3.0,2.0
13067,Nathan Eovaldi,CU,0.15,0.684,L,0.0,0.0
13068,Nathan Eovaldi,SL,-1.325,3.365,L,1.0,0.0
13069,Nathan Eovaldi,FT,0.424,1.814,L,2.0,0.0
13070,Nathan Eovaldi,FF,-0.081,3.863,L,2.0,1.0
13071,Nathan Eovaldi,CH,-0.319,0.895,L,2.0,2.0
13072,Nathan Eovaldi,CH,-0.474,2.316,L,2.0,2.0
18207,David Price,FF,0.158,2.761,L,0.0,0.0
18208,David Price,FT,-0.59,0.941,L,0.0,1.0
18209,David Price,FF,1.2919999999999998,3.267,L,1.0,1.0
18210,David Price,FT,-0.483,1.965,L,1.0,2.0
18211,David Price,FT,-0.394,2.584,R,0.0,0.0
18212,David Price,FT,0.353,3.711,R,0.0,1.0
18213,David Price,FT,-1.13,2.53,R,1.0,1.0
18214,David Price,FF,1.852,3.354,R,2.0,1.0
18215,David Price,FF,-0.204,2.339,R,3.0,1.0
18216,David Price,FT,-0.066,3.505,L,0.0,0.0
18217,David Price,FT,0.59,2.7430000000000003,L,1.0,0.0
18234,David Price,FF,0.505,1.778,R,0.0,0.0
18235,David Price,FT,-0.7170000000000001,2.264,R,0.0,1.0
18236,David Price,FC,1.5590000000000002,3.5610000000000004,R,1.0,1.0
18237,David Price,FT,1.044,1.786,R,2.0,1.0
18238,David Price,CH,-0.404,1.181,R,2.0,2.0
18239,David Price,FF,-0.336,2.272,R,3.0,2.0
18240,David Price,FT,-0.153,2.635,R,0.0,0.0
18241,David Price,FT,0.544,2.777,R,0.0,1.0
18242,David Price,FT,0.35600000000000004,1.481,R,0.0,2.0
18243,David Price,FT,-1.024,1.7009999999999998,R,1.0,2.0
18244,David Price,CH,1.445,2.369,R,2.0,2.0
18245,David Price,FF,0.907,2.654,R,2.0,2.0
18246,David Price,CH,0.6709999999999999,1.965,R,0.0,0.0
18247,David Price,FT,0.225,2.461,R,0.0,1.0
18248,David Price,FT,0.029,3.637,R,0.0,2.0
18249,David Price,FT,1.057,2.335,R,1.0,2.0
18250,David Price,FF,0.777,3.3480000000000003,R,0.0,0.0
18251,David Price,KC,0.856,2.632,R,0.0,1.0
18252,David Price,FF,0.82,3.327,R,1.0,1.0
18253,David Price,FT,0.267,2.051,R,1.0,2.0
18271,David Price,FT,1.272,3.135,L,0.0,0.0
18272,David Price,FT,-0.012,2.059,L,1.0,0.0
18273,David Price,FT,1.811,3.367,R,0.0,0.0
18274,David Price,FT,1.837,2.884,R,1.0,0.0
18275,David Price,FT,1.136,3.322,R,2.0,0.0
18276,David Price,FF,0.378,1.422,R,3.0,0.0
18277,David Price,FT,0.618,2.422,L,0.0,0.0
18278,David Price,FT,-0.034,3.161,L,0.0,1.0
18279,David Price,FT,0.309,3.214,L,0.0,2.0
18280,David Price,CH,0.7290000000000001,1.446,R,0.0,0.0
18281,David Price,FT,0.069,3.1260000000000003,R,0.0,1.0
18282,David Price,FF,0.682,3.318,R,0.0,2.0
18283,David Price,FF,-0.016,3.575,R,0.0,2.0
18284,David Price,FC,-2.045,0.516,R,0.0,2.0
18285,David Price,FC,2.459,2.231,R,1.0,2.0
18286,David Price,CH,0.965,1.666,R,2.0,2.0
18287,David Price,FF,0.847,2.587,R,2.0,2.0
18288,David Price,FT,-1.169,3.153,R,2.0,2.0
18289,David Price,FT,0.195,2.374,R,3.0,2.0
18308,David Price,FT,0.7809999999999999,2.496,L,0.0,0.0
